id_brut_db,id_anunt_normalizat,id_procedura_finala,relatie
ot:CAN1096003:award-1,CAN1096003,,exclus: autoritate non-spital
ot:CAN1096012:award-1,CAN1096012,,exclus: autoritate non-spital
ot:SCN1114816:award-1,SCN1114816,,exclus: autoritate non-spital
26707-2023,26707-2023,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-1,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-10,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-4,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-5,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-6,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-7,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-8,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-9,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-2,626050-2022,,exclus: autoritate non-spital
ot:2022/S 218-626050:award-3,626050-2022,,exclus: autoritate non-spital
29572-2023,29572-2023,,exclus: autoritate non-spital
30909-2023,30909-2023,,exclus: autoritate non-spital
33668-2023,33668-2023,,exclus: autoritate non-spital
35392-2023,35392-2023,,exclus: autoritate non-spital
ot:2022/S 118-332426:award-2,332426-2022,,exclus: autoritate non-spital
