id_anunt,autoritate,castigator,valoare_ron,data,motiv_excludere
SCN1130227,Directia Generala de Asistenta Sociala si Protectia Copilului Constanta,DRUGON INTERNATIONAL / OVAVINCI,241596,2023-08-24,autoritate non-spital
226627-2024,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",DENTAL PARTNER'S GRUP / Nastimed Serv / TEHNICAL DENT / TEHNODENT POKA S.R.L.,457565,2023-08-25,autoritate non-spital
44543-2024,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",TEHNODENT POKA S.R.L.,854723,2023-08-25,autoritate non-spital
513713-2023,STIMPEX,Italmatic Presse Stampi srl,1356556,2023-08-25,autoritate non-spital
514679-2023,SERVICIUL JUDETEAN DE AMBULANTA ARGES,ALPHA BRIO MEDICAL S.R.L. / DELUXE MEDICRAFTS / FARMACIA OMNIA / FLEXAL IMPEX S.R.L. / LUAN VISION / MEDICAL GRUP / TMS - TOP MEDICAL SUPPLIER / VALDOMEDICA TRADING,844195,2023-08-25,autoritate non-spital
762396-2023,JUDETUL ARGES,DACORUM GRUP / Dental Vladmed V&M SRL / MEDICAL SIMULATOR PROJECTS / MINIMED SOLUTIONS S.R.L. / Microcomputer Service S.A.,2376202,2023-08-25,autoritate non-spital
331495-2023,JUDETUL ARGES,,3162432,2023-08-25,autoritate non-spital
517340-2023,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",DENTAL PARTNER'S GRUP / Nastimed Serv / TEHNICAL DENT / TEHNODENT POKA S.R.L.,3100660,2023-08-28,autoritate non-spital
518968-2023,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""VICTOR BABES"" TIMISOARA",,1074222,2023-08-28,autoritate non-spital
520111-2023,UNIVERSITATEA DUNAREA DE JOS,ANTISEL RO / BIVARIA GRUP S.R.L. / LABORATORIUM LIFE SCIENCE SRL,462710,2023-08-29,autoritate non-spital
521761-2023,SERVICIUL DE AMBULANTA JUDETEAN IASI,ALCA DUO MEDICAL S.R.L. / Biolife Systems / CO&CO Consumer 2002 S.R.L. / CORAMED MEDIZINISCHE PRODUKTE / CRAD RO / CRIO - 2 S.R.L. / DELTAMED / DELUXE MEDICRAFTS / HELLIMED / IOANA N & M SRL / LUAN VISION / MEDCLAS TRADING S.R.L. / MEDICAL GRUP / Medplaza Health / NAFKA GRUP / NANO BIO MEDICAL S.R.L. / Natural Es-medical S.R.L / Novaintermed S.R.L. / PREBOX EMS / RICOMED / ROVAL MED / SANROTEX TRADING SRL / TAISSIS CONCEPT / TZMO ROMANIA / VETRO DESIGN / ZARYS INTERNATIONAL GROUP MEDICAL EQUIPMENT S.R.L.,1973910,2023-08-29,autoritate non-spital
SCN1125120,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BRAILA,TZMO ROMANIA,135091,2023-08-29,autoritate non-spital
523618-2023,SERVICIUL JUDETEAN DE AMBULANTA ARGES,ALPHA BRIO MEDICAL S.R.L. / DELUXE MEDICRAFTS / FARMACIA OMNIA / FLEXAL IMPEX S.R.L. / LUAN VISION / MEDICAL GRUP / TMS - TOP MEDICAL SUPPLIER / VALDOMEDICA TRADING,844195,2023-08-30,autoritate non-spital
524025-2023,Spitalul Clinic Judetean de Urgenta Targu.Mures,,819030,2023-08-30,procedura anulata / fara castigator (confirmat in XML TED)
401768-2023,ADMINISTRATIA REZERVATIEI BIOSFEREI DELTA DUNARII,,1344548,2023-08-30,autoritate non-spital
530903-2023,Consiliul Judetean Calarasi,EN ELECTRIC PROIECT OFFICE / EUROCERAD INTERNATIONAL / Integra Medical Business,28476945,2023-08-30,autoritate non-spital
524962-2023,PRIMARIA MUNICIPIULUI RAMNICU SARAT,,2781015,2023-09-01,autoritate non-spital
525353-2023,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Suceava,A.M.S. 2000 TRADING IMPEX S.R.L. / DIALAB SOLUTIONS / Filara BioMed SRL / Global Event Solutions SRL / LABORATORIUM S.R.L. / MECRO SYSTEM S.R.L. / MEDICLIM S.R.L. / MERC INTERNATIONAL IMPEX S.R.L. / NITECH / NOVA GROUP INVESTMENT / Noack Romania S.R.L. / ROMVAC COMPANY / S.C. Agilrom Scientific S.R.L. / S.C. MUSO S.R.L. / S.C. NOVACHIM TRADING S.R.L. / S.C. REDOX RESEARCH & ANALYTIC S.R.L. S.R.L. / TOPOMEV OPTOSCIENCE / TUNIC PROD S.R.L.,614881,2023-09-01,autoritate non-spital
525907-2023,Ministerul Apararii U.M. 02412 Bucuresti,CLINI-LAB / HELLIMED / LIAMED / MEDICLIM S.R.L. / MEDIKA H & S IMPEX S.R.L. / NOVA GROUP INVESTMENT / OPEN MIND LABORATORY S.R.L. / RAFI MEDICAL / TIMBERSTAR,555582,2023-09-01,unitate militara fara profil de spital
527214-2023,Municipiul Craiova,,7860125,2023-09-01,autoritate non-spital
527920-2023,Municipiul Craiova,,2107185,2023-09-01,autoritate non-spital
528844-2023,ORASUL STREHAIA,CARO INTERNATIONAL S.R.L. / DTL Medical SRL / NICONSULTING TECHNICS SRL / S.C. NEOMED S..R.L.,2281277,2023-09-01,autoritate non-spital
531221-2023,JUDETUL ARGES,CATTUS S.R.L. / MEDIST IMAGING & P.O.C. S.R.L.,631800,2023-09-04,autoritate non-spital
579852-2023,SERVICIUL DE PROTECTIE SI PAZA – U.M. 0149 F BUCURESTI,Medist / RENAMED FARMA S.R.L.,1496809,2023-09-04,unitate militara fara profil de spital
640599-2023,MUNICIPIUL DRAGASANI,BPM TEHNOLOGICA / CATTUS / GLOBAL MEDICAL SOLUTIONS SRL,3819468,2023-09-04,autoritate non-spital
534287-2023,Spitalulul Clinic de Ortopedie Traumatologie si TBC Osteoarticular Foisor,,1497000,2023-09-05,procedura anulata / fara castigator (confirmat in XML TED)
534576-2023,Spitalulul Clinic de Ortopedie Traumatologie si TBC Osteoarticular Foisor,,11575000,2023-09-05,procedura anulata / fara castigator (confirmat in XML TED)
535377-2023,MINISTERUL APARARII - UNITATEA MILITARA 02464 BUCURESTI,MEDIDENT EXIM S.R.L. / Nastimed Serv / RAFI MEDICAL / TEHNICAL DENT,1223951,2023-09-05,unitate militara fara profil de spital
SCN1130775,Institutul National de Medicina Legala Mina Minovici,TUNIC PROD S.R.L. / ANTISEL RO SRL / DIAMEDIX IMPEX / AVENA MEDICA S.R.L. / Tody Laboratories Int / S.C. MUSO S.R.L. / S.C. DELTAMED S.R.L. / PARTNERS MEDICAL SOLUTION S.R.L. / DEXTER COM S.R.L. / LABORSISTEM S.R.L.,36697,2023-09-05,autoritate non-spital
SCN1125592,Penitenciarul cu Regim de Maxima Siguranta Giurgiu,CARLAND S.R.L.,,2023-09-06,autoritate non-spital
SCN1125652,Directia Sanitar Veterinara si pentru Siguranta Alimentelor Braila,MEDICLIM S.R.L.,4980,2023-09-06,autoritate non-spital
539404-2023,JUDETUL ARGES,CATTUS S.R.L. / IT HERO TECHNOLOGIES S.R.L. / MEDIST IMAGING & P.O.C. S.R.L.,666380,2023-09-08,autoritate non-spital
540614-2023,Orasul Zarnesti (Primaria Orasului Zarnesti),,16452079,2023-09-08,autoritate non-spital
540874-2023,MUNICIPIUL MOTRU,S.C. EDITRONIC INTERNATIONAL S.R.L.,944800,2023-09-08,autoritate non-spital
541765-2023,COMUNA BOZOVICI (PRIMARIA BOZOVICI,,6804144,2023-09-08,autoritate non-spital
352978-2023,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""VICTOR BABES"" TIMISOARA",,1074222,2023-09-08,autoritate non-spital
493647-2023,CROMATEC PLUS S.R.L.,,9157526,2023-09-08,entitate privata (SRL/SA)
CN1049702,Consiliul Judetean Buzau,ULTRASONIC APARATURA MEDICALA,279000,2023-09-09,autoritate non-spital
790352-2024,"Universitatea de Medicina si Farmacie ""Iuliu Hatieganu"" Cluj-Napoca",MEDICA M3 APARATURĂ SERVICE S.R.L. / Nastimed Serv / TEHNICAL DENT,565151,2023-09-11,autoritate non-spital
547981-2023,MUNICIPIUL MOTRU,4M BUSINESS / CATTUS S.R.L. / S.C. EDITRONIC INTERNATIONAL S.R.L.,1155123,2023-09-12,autoritate non-spital
549313-2023,"Spitalul Clinic ""Prof.Dr.Th.Burghele""",,3397360,2023-09-12,procedura anulata / fara castigator (confirmat in XML TED)
588788-2023,MUNICIPIUL ROMAN,CORTECH MED S.R.L.,3611278,2023-09-12,autoritate non-spital
CN1055059,Institutul National de Cercetare Dezvoltare Medico Militara Cantacuzino,NICONSULTING TECHNICS SRL,497000,2023-09-12,institut de cercetare / fara paturi de spital
CN1059554,Societatea Nationala de Gaze Naturale Romgaz S.A.,ROGER INVEST SRL / FLYNG IMPEX S.R.L.,41578,2023-09-12,entitate privata (SRL/SA)
SCN1131179,Ministerul Sanatatii,OVAVINCI,152800,2023-09-12,autoritate non-spital
553094-2023,CONSILIUL JUDETEAN GORJ,MLM MEDICAL S.R.L.,66058,2023-09-13,autoritate non-spital
CN1059578,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Cluj,NOVA GROUP INVESTMENT / Noack Romania S.R.L. / FOTOMETRIC INSTRUMENTS S.R.L. / MEDICLIM S.R.L. / BIO AQUA GROUP / S.C. NOVACHIM TRADING S.R.L. / TUNIC PROD S.R.L.,105467,2023-09-13,autoritate non-spital
556526-2023,JUDETUL ARGES,CATTUS S.R.L. / DVC MEDICAL VISION SRL / IT HERO TECHNOLOGIES S.R.L. / MEDICAL DEVICE STORE SRL / MEDIST IMAGING & P.O.C. S.R.L.,839045,2023-09-15,autoritate non-spital
557017-2023,JUDETUL ARGES,MEDICAL SIMULATOR PROJECTS,177800,2023-09-15,autoritate non-spital
590305-2023,SERVICIUL DE PROTECTIE SI PAZA – U.M. 0149 F BUCURESTI,ALTIUM INTERNATIONAL / ANTISEL RO / CLINI-LAB / CROMATEC PLUS / Elta 90 Medical Research SRL / MECRO SYSTEM S.R.L.,7996424,2023-09-15,unitate militara fara profil de spital
CN1055249,Societatea Nationala de Gaze Naturale Romgaz S.A.,DARI TEHNOLOGIES,4400,2023-09-15,entitate privata (SRL/SA)
